Name,Credit ,Points ,SelectedBy,Speciality,IsPlaying,Nationality
D Karthik,9,172,47.03,WK,YES,IND,BLR
M Dhoni,8.5,156,29.38,WK,YES,IND,CSK
N Jagadeesan,8,0,1.35,WK,NO,IND,CSK
A Rawat,8,175,58.77,WK,YES,IND,BLR
V Kohli,10,162,66.08,BAT,YES,IND,BLR
F du Plessis,10,206,80.32,BAT,YES,SA,BLR
G Maxwell,9.5,26,56.85,BAT,YES,AUS,BLR
A Rayudu,9,137,44,58,BAT,YES,IND,CSK
R Gaikwad,9,35,41.43,BAT,YES,IND,CSK
R Uthappa,8.5,177,66.51,BAT,YES,IND,CSK
D Conway,8.5,7,0.67,BAT,NO,NZ,CSK
S Dube,8.5,171,34.7,BAT,YES,IND,CSK
R Patidar,8,0,0.2,BAT,NO,IND,BLR
M Lonor,8,0,0.3,BAT,NO,IND,BLR
F Allen,8,0,0.26,BAT,NO,NZ,BLR
S Senapathi,8,0,0.25,BAT,NO,IND,CSK
C Hari Nishanth,8,0,0.25,BAT,NO,IND,CSK
S Rutherford,8,42,0.83,BAT,NO,WI,BLR
M Ali,10,130,76.56,AR,YES,SA,CSK
R Jadeja,9.5,144,50.22,AR,YES,IND,CSK
W Hasaranga,9,265,85.97,AR,YES,SL,BLR
D Pretorious,8.5,124,6.79,AR,NO,SA,CSK
D Willey,8.5,0,11.26,AR,YES,ENG,BLR
M Santner,8.5,29,1,AR,NO,NZ,CSK
S Prabhudessai,8,0,0.29,AR,NO,IND,BLR
S Ahmed,8,140,11.3,AR,YES,IND,BLR
B Varma,7.5,0,0.41,AR,NO,IND,CSK
D Bravo,9,234,80.81,BOWL,YES,WI,CSK
H Patel,9,237,82.4,BOWL,YES,IND,BLR
J Hazlewood,8.5,0,5.77,BOWL,NO,AUS,BLR
A Milne,8.5,4,1.49,BOWL,NO,NZ,CSK
D Chahar,8.5,0,4.86,BOWL,NO,IND,CSK
C Jordan,8.5,83,42.32,BOWL,NO,WI,CSK
M Siraj,8.5,95,31.01,BOWL,YES,IND,BLR
M Theekshana,8.5,4,8.36,BOWL,YES,SL,CSK
S Kaul,8,0,0.63,BOWL,NO,IND,BLR
K Sharma,8,0,0.38,BOWL,NO,IND,BLR
J Behrendorff,8,0,0.37,BOWL,NO,AUS,BLR
C Milind,8,0,0.12,BOWL,NO,IND,BLR
T Despande,8,39,1.05,BOWL,YES,IND,CSK
K Asif,8,0,0.2,BOWL,NO,IND,CSK
S Singh,8,0,0.25,BOWL,NO,IND,CSK
M Choudhary,8,54,13.29,BOWL,YES,IND,CSK
R Hangargekar,8,0,0.36,BOWL,NO,IND,CSK
A Deep,8,173,51.46,BOWL,YES,IND,BLR
P Solanki,8,0,0.33,BOWL,NO,IND,CSK
A Gautham,7.5,0,1.21,BOWL,NO,IND,BLR
