Name,Credit ,Points ,SelectedBy,Speciality,IsPlaying,Nationality
W Saha,8.5,205,80.39,WK,1,IND
K Srikar-Bharat,8.5,154,43.02,WK,1,IND
M Azharudeen,8,0,1.07,WK,0,IND
S Goswami,7.5,0,2.29,WK,0,IND
V Kohli,10,568,73.53,BAT,1,IND
K Williamson,9.5,360,61.17,BAT,1,NZ
D Warner,9.5,306,4.91,BAT,0,AUS
D Padikkal,9.5,563,78.6,BAT,1,IND
A de Villiers,9.5,492,36.7,BAT,1,SA
J Roy,9,114,57.1,BAT,1,ENG
M Pandey,9,349,4.92,BAT,1,IND
T David,8.5,90,13.24,BAT,0,ENG
A Samad,8,239,38.7,BAT,1,IND
S Rutherford,8,0,0.49,BAT,0,IND
P Garg,8,36,9,BAT,1,IND
V Singh,9,178,75.63,BAT,0,IND
H Jadhav,8,101,1.02,BAT,0,IND
S Prabhudessai,8,0,0.32,BAT,0,IND
R Patidar,8,114,0.61,BAT,0,AUS
S Baby,8,5,0.27,BAT,0,IND
G Maxwell,10,706,83.13,AR,1,AUS
J Holder,9.5,433,77.8,AR,1,WI
M Nabi,8.5,96,2.2,AR,0,AFG
W Hasaranga,8.5,3,1.11,AR,0,SL
A Sharma,8,166,16.94,AR,1,IND
V Shankar,8,196,2.05,AR,0,IND
S Ahmed,8,296,37.39,AR,0,IND
D Christian,8,87,17.31,AR,0,AUS
Rashid-Khan,9.5,618,69.86,BOWL,1,AFG
H Patel,9.5,892,75.9,BOWL,1,IND
Y Chahal,9,510,64.23,BOWL,1,IND
Mujeeb-ur-Rahman,8.5,55,0.91,BOWL,0,BAN
T Natarajan,8.5,58,1.02,BOWL,0,IND
K Ahmed,8.5,166,1.39,BOWL,0,IND
S Sharma,8.5,132,2.48,BOWL,0,IND
B Kumar,8.5,218,38.85,BOWL,1,IND
M Siraj,8.5,334,30.5,BOWL,1,IND
K Jamieson,8.5,349,3.95,BOWL,0,SA
U Malik,8,6,11.7,BOWL,0,PAK
B Thampi,9,0,0.54,BOWL,0,IND
J Suchith,8,37,0.3,BOWL,0,IND
S Nadeem,8,37,0.55,BOWL,0,BAN
S Kaul,8,196,37.25,BOWL,1,IND
A Deep,8,0,0.43,BOWL,0,IND
M Saini,8,6,0.89,BOWL,0,IND
G Garton,8,58,26.01,BOWL,1,ENG
D Chameera,8,0,0.46,BOWL,0,SL
